"","time"
"900",871
"901",932
"902",1071
"903",552
"904",689
"905",836
"906",563
"907",841
"908",692
"909",419
"910",806
"911",743
"912",622
"913",1054
"914",830
"915",905
"916",1330
"917",984
"918",1066
"919",1158
"920",504
"921",121
"922",531
"923",1698
"924",759
"925",1744
"926",1544
"927",798
"928",2029
"929",1079
"930",1370
"931",1298
"932",1184
"933",957
"934",1265
"935",716
"936",1149
"937",779
"938",1421
"939",441
"940",1178
"941",817
"942",1064
"943",735
"944",1454
"945",347
"946",1001
"947",1132
"948",414
"949",1396
"950",1293
"951",144
"952",103
"953",414
"954",238
"955",1740
"956",988
"957",424
"958",580
"959",1092
"960",1234
"961",267
"962",866
"963",282
"964",1132
"965",1173
"966",94
"967",1013
"968",1794
"969",919
"970",87
"971",680
"972",350
"973",98
"974",1453
"975",356
"976",1393
"977",335
"978",713
"979",111
"980",76
"981",161
"982",1150
"983",198
"984",270
"985",970
"986",120
"987",62
"988",724
"989",681
"990",1075
"991",1254
"992",1085
"993",1004
"994",821
"995",839
"996",836
"997",141
"998",1290
"999",864
"1000",1191
"1001",667
"1002",744
"1003",1351
"1004",707
"1005",1243
"1006",674
"1007",706
"1008",1519
"1009",874
"1010",655
"1011",365
"1012",1015
"1013",1025
"1014",2866
"1015",1773
"1016",1268
"1017",1479
"1018",1755
"1019",2429
"1020",2498
"1021",695
"1022",1260
"1023",2251
"1024",1233
"1025",1740
"1026",1825
"1027",1441
"1028",495
"1029",486
"1030",651
"1031",989
"1032",924
"1033",889
"1034",942
"1035",879
"1036",678
"1037",1089
"1038",1223
"1039",943
"1040",938
"1041",1562
"1042",1227
"1043",1480
"1044",1421
"1045",828
"1046",635
"1047",994
"1048",1189
"1049",577
"1050",1149
"1051",836
"1052",1018
"1053",996
"1054",925
"1055",970
"1056",830
"1057",1109
"1058",911
"1059",584
"1060",1591
"1061",1447
"1062",1113
"1063",1241
"1064",1074
"1065",1616
"1066",731
"1067",1057
"1068",2317
"1069",1863
"1070",1101
"1071",1311
"1072",1966
"1073",1417
"1074",1122
"1075",1034
"1076",1255
"1077",1162
"1078",1321
"1079",1376
"1080",90
"1081",143
"1082",123
"1083",135
"1084",134
"1085",123
"1086",912
"1087",784
"1088",661
"1089",80
"1090",163
"1091",567
"1092",360
"1093",339
"1094",1152
"1095",598
"1096",135
"1097",485
"1098",571
"1099",371
"1100",528
"1101",472
"1102",553
"1103",685
"1104",385
"1105",270
"1106",655
"1107",651
"1108",480
"1109",383
"1110",317
"1111",443
"1112",784
"1113",521
"1114",539
"1115",1866
"1116",585
"1117",3206
"1118",472
"1119",568
"1120",3288
"1121",606
"1122",945
"1123",1354
"1124",597
"1125",864
"1126",1193
"1127",1937
"1128",454
"1129",569
"1130",564
"1131",435
"1132",1161
"1133",898
"1134",973
"1135",2196
"1136",1591
"1137",1357
"1138",1192
"1139",957
"1140",1481
"1141",1184
"1142",1079
"1143",1163
"1144",1367
"1145",1132
"1146",820
"1147",764
"1148",1374
"1149",1192
"1150",1087
"1151",1113
"1152",2007
"1153",1262
"1154",1418
"1155",1385
"1156",1011
"1157",587
"1158",611
"1159",914
"1160",928
"1161",1327
"1162",1205
"1163",819
"1164",895
"1165",261
"1166",650
"1167",1222
"1168",1020
"1169",544
"1170",1210
"1171",967
"1172",1241
"1173",908
"1174",762
"1175",1110
"1176",780
"1177",851
"1178",1050
"1179",937
"1180",293
"1181",1024
"1182",939
"1183",14
"1184",190
"1185",2286
"1186",162
"1187",107
"1188",1244
"1189",378
"1190",697
"1191",641
"1192",502
"1193",1142
"1194",1071
"1195",754
"1196",878
"1197",1150
"1198",1230
"1199",1027
"1200",1082
"1201",845
"1202",1455
"1203",1351
"1204",1067
"1205",1314
"1206",1083
"1207",1097
"1208",1046
"1209",1053
"1210",1005
"1211",688
"1212",383
"1213",209
"1214",643
"1215",233
"1216",731
"1217",130
"1218",1278
"1219",1206
"1220",781
"1221",1280
"1222",785
"1223",977
"1224",968
"1225",1238
"1226",451
"1227",682
"1228",724
"1229",865
"1230",715
"1231",764
"1232",841
"1233",1276
"1234",670
"1235",542
"1236",841
"1237",737
"1238",146
"1239",593
"1240",3332
"1241",869
"1242",493
"1243",221
"1244",715
"1245",1093
"1246",1019
"1247",1099
"1248",2923
"1249",33475
"1250",369
"1251",2685
"1252",943
"1253",1408
"1254",1277
"1255",1154
"1256",1344
"1257",1536
"1258",841
"1259",1235
"1260",1154
"1261",1607
"1262",1322
"1263",1463
"1264",773
"1265",895
"1266",805
"1267",1980
"1268",1526
"1269",1433
"1270",922
"1271",510
"1272",1390
"1273",917
"1274",74
"1275",191
"1276",598
"1277",916
"1278",913
"1279",983
"1280",945
"1281",811
"1282",1433
"1283",967
"1284",960
"1285",891
"1286",690
"1287",481
"1288",1917
"1289",108
"1290",1494
"1291",1237
"1292",978
"1293",73
"1294",754
"1295",272
"1296",1218
"1297",1588
"1298",295
"1299",1127
"1300",36
"1301",49
"1302",713
"1303",1787
"1304",365
"1305",241
"1306",384
"1307",434
"1308",1018
"1309",1140
"1310",837
"1311",181
"1312",932
"1313",210
"1314",1144
"1315",636
"1316",124
"1317",968
"1318",529
"1319",4536
"1320",617
"1321",1640
"1322",1720
"1323",483
"1324",650
"1325",747
"1326",1030
"1327",565
"1328",1055
"1329",1001
"1330",917
"1331",920
"1332",752
"1333",201
"1334",619
"1335",792
"1336",148
"1337",573
"1338",140
"1339",76
"1340",479
"1341",1178
"1342",570
"1343",892
"1344",217
"1345",1133
"1346",208
"1347",118
"1348",343
"1349",117
"1350",546
"1351",1232
"1352",115
"1353",987
"1354",394
"1355",803
"1356",251
"1357",1383
"1358",1109
"1359",2167
"1360",592
"1361",543
"1362",816
"1363",1218
"1364",1054
"1365",886
"1366",997
"1367",829
"1368",409
"1369",264
"1370",1537
"1371",1425
"1372",1165
"1373",1114
"1374",724
"1375",735
"1376",694
"1377",712
"1378",1912
"1379",675
"1380",605
"1381",813
"1382",937
"1383",978
"1384",418
"1385",1494
"1386",1266
"1387",1240
"1388",342
"1389",1146
"1390",1353
"1391",1089
"1392",94
"1393",1086
"1394",38
"1395",1154
"1396",1053
"1397",1271
"1398",833
"1399",1315
"1400",158
"1401",1347
"1402",514
"1403",914
"1404",1563
"1405",264
"1406",1196
"1407",789
"1408",768
"1409",578
"1410",807
"1411",892
"1412",1326
"1413",1034
"1414",862
"1415",723
"1416",1100
"1417",994
"1418",920
"1419",979
"1420",1235
"1421",920
"1422",777
"1423",689
"1424",323
"1425",897
"1426",1057
"1427",1217
"1428",778
"1429",701
"1430",509
"1431",532
"1432",209
"1433",1436
"1434",1580
"1435",1314
"1436",263
"1437",682
"1438",282
"1439",2822
"1440",824
"1441",1295
"1442",1299
"1443",894
"1444",805
"1445",1512
"1446",243
"1447",1099
"1448",384
"1449",415
"1450",834
"1451",566
"1452",721
"1453",781
"1454",960
"1455",587
"1456",1317
"1457",737
"1458",333
"1459",927
"1460",494
"1461",771
"1462",684
"1463",816
"1464",729
"1465",966
"1466",725
"1467",324
"1468",867
"1469",1010
"1470",1570
"1471",1377
"1472",1440
"1473",929
"1474",764
"1475",1159
"1476",1510
"1477",1520
"1478",1410
"1479",916
"1480",1244
"1481",752
"1482",1067
"1483",638
"1484",695
"1485",1106
"1486",438
"1487",447
"1488",861
"1489",828
"1490",317
"1491",482
"1492",513
"1493",901
"1494",451
"1495",529
"1496",986
"1497",869
"1498",805
"1499",479
"1500",1172
"1501",825
"1502",589
"1503",441
"1504",917
"1505",1027
"1506",485
"1507",1199
"1508",884
"1509",1524
"1510",865
"1511",1761
"1512",1768
"1513",1102
"1514",710
"1515",1394
"1516",1293
"1517",1274
"1518",695
"1519",1106
"1520",1055
"1521",904
"1522",873
"1523",281
"1524",1136
"1525",1273
"1526",1535
"1527",810
"1528",1376
"1529",72
"1530",722
"1531",585
"1532",1109
"1533",1473
"1534",962
"1535",517
"1536",652
"1537",855
"1538",884
"1539",381
"1540",657
"1541",215
"1542",2514
"1543",1937
"1544",1096
"1545",3378
"1546",3193
"1547",3457
"1548",3333
"1549",4037
"1550",3441
"1551",2766
"1552",3510
"1553",3469
"1554",3080
"1555",3011
"1556",3268
"1557",3524
"1558",3458
"1559",3013
"1560",3342
"1561",3311
"1562",2718
"1563",2750
"1564",3061
"1565",2954
"1566",2939
"1567",2835
"1568",2945
"1569",2685
"1570",2690
"1571",676
"1572",954
"1573",875
"1574",52
"1575",1147
"1576",1074
"1577",298
"1578",569
"1579",781
"1580",1186
"1581",970
"1582",1017
"1583",1233
"1584",1269
"1585",1215
"1586",1332
"1587",1392
"1588",1616
"1589",1315
"1590",779
"1591",996
"1592",930
"1593",745
"1594",1527
"1595",105
"1596",215
"1597",398
"1598",317
"1599",175
"1600",1056
"1601",1039
"1602",1864
"1603",928
"1604",799
"1605",753
"1606",1540
"1607",763
"1608",109
"1609",581
"1610",620
"1611",109
"1612",795
"1613",819
"1614",100
"1615",74
"1616",530
"1617",1168
"1618",1125
"1619",1358
"1620",1045
"1621",995
"1622",1397
"1623",1059
"1624",977
"1625",561
"1626",64
"1627",464
"1628",92
"1629",693
"1630",1472
"1631",350
"1632",5
"1633",236
"1634",1115
"1635",906
"1636",812
"1637",171
"1638",1819
"1639",1317
"1640",843
"1641",143
"1642",737
"1643",401
"1644",1334
"1645",1134
"1646",144
"1647",575
"1648",99
"1649",277
"1650",51
"1651",528
"1652",817
"1653",962
"1654",255
"1655",1262
"1656",155
"1657",898
"1658",891
"1659",803
"1660",731
"1661",360
"1662",1021
"1663",1434
"1664",336
"1665",801
"1666",1004
"1667",1174
"1668",977
"1669",849
"1670",1096
"1671",1248
"1672",90
"1673",7
"1674",99
"1675",642
"1676",125
"1677",1668
"1678",756
"1679",754
"1680",1485
"1681",163
"1682",1022
"1683",994
"1684",1128
"1685",721
"1686",1018
"1687",785
"1688",847
"1689",600
"1690",519
"1691",646
"1692",79
"1693",768
"1694",267
"1695",790
"1696",123
"1697",855
"1698",1193
"1699",484
"1700",748
"1701",981
"1702",954
"1703",820
"1704",947
"1705",664
"1706",886
"1707",524
"1708",1213
"1709",1102
"1710",199
"1711",1011
"1712",418
"1713",301
"1714",505
"1715",171
"1716",93
"1717",89
"1718",594
"1719",95
"1720",387
"1721",1437
"1722",156
"1723",1270
"1724",1217
"1725",999
"1726",94
"1727",671
"1728",460
"1729",730
"1730",96
"1731",1101
"1732",792
"1733",98
"1734",261
"1735",488
"1736",1126
"1737",634
"1738",110
"1739",846
"1740",84
"1741",802
"1742",511
"1743",1340
"1744",936
"1745",769
"1746",566
"1747",235
"1748",655
"1749",636
"1750",198
"1751",1221
"1752",622
"1753",1004
"1754",925
"1755",1089
"1756",1051
"1757",1160
"1758",650
"1759",945
"1760",1637
"1761",896
"1762",885
"1763",1186
"1764",126
"1765",139
"1766",696
"1767",1047
"1768",838
"1769",67
"1770",1041
"1771",998
"1772",91
"1773",904
"1774",5757
"1775",125
"1776",77
"1777",626
"1778",57
"1779",45
"1780",699
"1781",10
"1782",1075
"1783",402
"1784",1064
"1785",336
"1786",1180
"1787",912
"1788",1072
"1789",1070
"1790",559
"1791",1186
"1792",712
"1793",726
"1794",580
"1795",104
"1796",1220
"1797",1680
"1798",7
"1799",971
"1800",89
"1801",545
"1802",92
"1803",919
"1804",932
"1805",988
"1806",1110
"1807",58
"1808",525
"1809",685
"1810",424
"1811",363
"1812",325
"1813",934
"1814",816
"1815",787
"1816",939
"1817",726
"1818",104
"1819",185
"1820",106
"1821",208
"1822",917
"1823",8
"1824",92
"1825",304
"1826",193
"1827",359
"1828",1013
"1829",611
"1830",171
"1831",1206
"1832",544
"1833",1251
"1834",1004
"1835",362
"1836",300
"1837",899
"1838",897
"1839",200
"1840",140
"1841",933
"1842",963
"1843",1133
"1844",47
"1845",868
"1846",1434
"1847",445
"1848",682
"1849",353
"1850",1012
"1851",1478
"1852",1333
"1853",1291
"1854",1257
"1855",221
"1856",1531
"1857",1064
"1858",193
"1859",176
"1860",1671
"1861",1292
"1862",1394
"1863",761
"1864",1529
"1865",1155
"1866",1425
"1867",597
"1868",1167
"1869",464
"1870",951
"1871",1719
"1872",1685
"1873",1473
"1874",1306
"1875",2012
"1876",1252
"1877",1391
"1878",1157
"1879",1142
"1880",1767
"1881",1485
"1882",1181
"1883",1474
"1884",1253
"1885",1215
"1886",767
"1887",510
"1888",361
"1889",887
"1890",106
"1891",1364
"1892",1350
"1893",978
"1894",933
"1895",131
"1896",737
"1897",1042
"1898",705
"1899",666
